shipment_id,material_type,priority_level,total_stops,current_stop_index,final_deadline,status
SHIP-001,Medical Supplies,9,4,2,2026-04-06 18:00:00+00,In Transit
SHIP-002,Electronics,6,3,3,2026-03-31 18:00:00+00,Delivered
SHIP-003,Industrial Parts,7,5,1,2026-04-07 18:00:00+00,In Transit
SHIP-004,Retail Goods,4,3,2,2026-04-05 18:00:00+00,In Transit
SHIP-005,Cold Chain Food,10,4,4,2026-04-04 00:00:00+00,Delivered
SHIP-006,Automotive Parts,8,4,1,2026-04-07 06:00:00+00,In Transit
SHIP-007,Chemical Feedstock,9,3,2,2026-04-06 06:00:00+00,In Transit
SHIP-008,Apparel Bulk,4,3,1,2026-04-08 18:00:00+00,In Transit
SHIP-009,Vaccines,10,4,2,2026-04-06 00:00:00+00,In Transit
SHIP-010,Office Furniture,5,4,3,2026-04-05 12:00:00+00,In Transit
SHIP-011,Semiconductors,9,3,0,2026-04-06 12:00:00+00,In Transit
SHIP-012,Agricultural Seed,6,5,2,2026-04-09 18:00:00+00,In Transit
SHIP-013,Pet Food,3,2,1,2026-04-06 10:00:00+00,In Transit
SHIP-014,Spare Motors,7,4,1,2026-04-08 06:00:00+00,In Transit
SHIP-015,Toys,5,3,3,2026-04-01 18:00:00+00,Delivered
SHIP-016,Home Appliances,6,4,4,2026-03-30 18:00:00+00,Delivered
SHIP-017,Paper Goods,3,2,2,2026-03-23 18:00:00+00,Delivered
SHIP-018,Steel Coil,7,4,4,2026-04-02 18:00:00+00,Delivered
SHIP-019,Beverages,4,3,3,2026-03-27 18:00:00+00,Delivered
SHIP-020,Laptops,8,3,3,2026-04-03 18:00:00+00,Delivered
SHIP-021,Hotel Furniture,5,5,5,2026-03-13 18:00:00+00,Delivered
SHIP-022,Fertilizer,6,3,3,2026-03-07 18:00:00+00,Delivered
